Id,Wind_forecast
1,3185.4902
2,2574.3035
3,2477.325
4,3312.2546
5,3889.5283
6,3365.2542
7,3825.754
8,5048.6406
9,6703.909
10,5141.0107
11,2522.716
12,4374.915
13,4072.0332
14,4042.9797
15,3473.0737
16,4448.9546
17,4874.1743
18,4095.8794
19,3695.5562
20,3433.1062
21,3782.7947
22,2785.032
23,2923.4602
24,2707.9353
25,3742.3462
26,6315.1543
27,7099.703
28,6031.659
29,3924.093
30,4898.036
31,7366.1426
32,6837.558
33,4300.8813
34,3639.1533
35,6846.0366
36,3945.868
37,3992.1487
38,3338.0479
39,4620.4414
40,4121.002
41,3653.6152
42,2484.9294
43,4615.135
44,5793.5312
45,7280.604
46,5069.849
47,5890.8657
48,4123.9326
49,7363.1353
50,6808.117
51,7973.821
52,6303.6646
53,8840.462
54,8929.248
55,6625.267
56,7264.433
57,8233.559
58,7111.727
59,7457.18
60,5148.3467
61,6937.4116
62,9065.079
63,7412.7783
64,8920.163
65,7935.371
66,6047.0254
67,9096.642
68,8953.093
69,9979.148
70,8491.782
71,5676.143
72,4812.222
73,5142.543
74,4425.4785
75,6098.262
76,8192.917
77,8913.109
78,9490.331
79,6949.857
80,5391.948
81,7668.434
82,9081.155
83,8520.551
84,8247.811
85,8769.334
86,7122.2964
87,6357.2573
88,7606.0425
89,6058.0728
90,4006.9768
91,4740.9287
92,4679.9453
93,4438.041
94,6956.4067
95,4381.5225
96,3357.291
97,3950.5813
98,4132.445
99,3400.9214
100,4227.4883
101,3510.942
102,3557.304
103,4160.3833
104,5555.51
105,3811.1526
106,6564.6294
107,5135.438
108,4055.4016
109,7426.1987
110,9503.91
111,8881.546
112,8603.979
113,10488.264
114,9795.263
115,8013.7417
116,7733.6978
117,7646.875
118,7566.811
119,9097.588
120,8229.898
121,9367.834
122,9490.587
123,8671.78
124,7421.223
125,7243.933
126,8924.746
127,7453.5366
128,7515.485
129,9331.211
130,9528.232
131,9481.052
132,9295.986
133,10145.58
134,10332.375
135,10098.843
136,10108.354
137,9239.949
138,9513.113
139,6066.5566
140,6300.2876
141,5199.7295
142,5835.221
143,7918.0503
144,6705.0977
145,6856.1016
146,6488.899
147,4568.2065
148,6089.1704
149,7477.0454
150,6520.4795
151,4791.799
152,6342.448
153,5956.9775
154,7055.2466
155,7369.1577
156,6666.791
157,4955.8887
158,7361.848
159,6653.345
160,7794.0903
161,5054.308
162,3583.3442
163,3575.0276
164,4355.9043
165,4357.417
166,4022.333
167,4165.647
168,4117.683
169,5674.489
170,7119.545
171,7183.4404
172,4922.0366
173,4327.39
174,3510.9917
175,4840.7935
176,5053.2627
177,4654.1655
178,6168.3677
179,9461.779
180,9473.545
181,8492.092
182,7697.434
183,6128.3374
184,5590.632
185,5836.7397
186,4543.6943
187,4707.6973
188,6548.187
189,9715.13
190,10365.813
191,10810.573
192,7027.9595
193,8389.623
194,10795.723
195,10697.611
196,6024.7803
197,7118.79
198,7613.5684
199,7484.1484
200,5073.5146
201,4332.4526
202,5553.3296
203,8723.8
204,9026.827
205,9542.045
206,8954.666
207,8314.7705
208,6031.2925
209,7452.483
210,7027.3936
211,8045.636
212,9681.789
213,10292.517
214,7605.718
215,7782.106
216,7348.7046
217,5398.7163
218,6296.4814
219,4541.5107
220,4498.5093
221,3623.675
222,6069.225
223,5806.135
224,7849.3223
225,6988.5264
226,6387.2637
227,6773.409
228,6157.1753
229,5744.8223
230,6480.559
231,6087.375
232,5949.8496
233,4507.4614
234,5397.1587
235,7281.5396
236,5918.672
237,4556.271
238,3931.6882
239,3896.2031
240,5334.423
241,4009.1616
242,3832.277
243,3865.454
244,3853.084
245,5882.052
246,6011.579
247,3844.6428
248,3210.5483
249,3755.7598
250,3078.468
251,4405.7715
252,5189.748
253,3771.3135
254,4086.705
255,4522.935
256,4218.221
257,4352.6694
258,6773.6084
259,5986.268
260,4860.099
261,4664.9253
262,6298.1523
263,5043.0234
264,4112.683
265,6572.93
266,5746.127
267,6676.316
268,5810.816
269,5096.037
270,4700.4355
271,7346.2563
272,6587.785
273,6534.5415
274,5924.261
275,6245.158
276,5652.017
277,5959.219
278,5961.2944
279,5084.542
280,4841.0312
281,4751.3003
282,4457.06
283,2753.5364
284,2682.3555
285,2903.3647
286,3909.1274
287,3533.3076
288,3353.3613
289,2356.4004
290,2372.7534
291,4131.3955
292,2302.0618
293,3448.36
294,2166.9153
295,3584.1865
296,2520.2427
297,2474.6675
298,3453.1384
299,3848.9602
300,3019.8855
301,2411.12
302,2655.3252
303,3425.4724
304,6197.692
305,4499.3755
306,4886.8457
307,4047.14
308,6000.0337
309,2637.7827
310,4764.596
311,3481.3247
312,2544.982
