Date,Wind_power_pred,Wind_power_actual
2022-09-02,3185.4902,1716.04166666667
2022-09-03,2574.3035,1862.04166666667
2022-09-04,2477.325,2340.52083333333
2022-09-05,3312.2546,3396.375
2022-09-06,3889.5283,3008.22916666667
2022-09-07,3365.2542,3232.875
2022-09-08,3825.754,5521.16666666667
2022-09-09,5048.6406,7863.10416666667
2022-09-10,6703.909,3616.9375
2022-09-11,5141.0107,1224.5625
2022-09-12,2522.716,2324.16666666667
2022-09-13,4374.915,2734.10416666667
2022-09-14,4072.0332,2400.75
2022-09-15,4042.9797,1707.72916666667
2022-09-16,3473.0737,3450.0
2022-09-17,4448.9546,4597.52083333333
2022-09-18,4874.1743,3692.875
2022-09-19,4095.8794,2689.58333333333
2022-09-20,3695.5562,2199.45833333333
2022-09-21,3433.1062,2316.27083333333
2022-09-22,3782.7947,1263.20833333333
2022-09-23,2785.032,1066.85416666667
2022-09-24,2923.4602,1913.5
2022-09-25,2707.9353,2507.16666666667
2022-09-26,3742.3462,7046.52083333333
2022-09-27,6315.1543,7268.1875
2022-09-28,7099.703,4150.25
2022-09-29,6031.659,1633.95833333333
2022-09-30,3924.093,3728.125
2022-10-01,4898.036,10257.5833333333
2022-10-02,7366.1426,4760.16666666667
2022-10-03,6837.558,1302.6875
2022-10-04,4300.8813,1434.1875
2022-10-05,3639.1533,6722.47916666667
2022-10-06,6846.0366,1813.16666666667
2022-10-07,3945.868,1516.39583333333
2022-10-08,3992.1487,1882.08333333333
2022-10-09,3338.0479,3431.22916666667
2022-10-10,4620.4414,2818.08333333333
2022-10-11,4121.002,2091.64583333333
2022-10-12,3653.6152,997.645833333333
2022-10-13,2484.9294,2906.5
2022-10-14,4615.135,4862.875
2022-10-15,5793.5312,6488.9375
2022-10-16,7280.604,3899.35416666667
2022-10-17,5069.849,4866.0
2022-10-18,5890.8657,2529.14583333333
2022-10-19,4123.9326,6054.41666666667
2022-10-20,7363.1353,5510.10416666667
2022-10-21,6808.117,6887.125
2022-10-22,7973.821,4125.83333333333
2022-10-23,6303.6646,9376.8125
2022-10-24,8840.462,10205.1041666667
2022-10-25,8929.248,4172.29166666667
2022-10-26,6625.267,5090.77083333333
2022-10-27,7264.433,6411.41666666667
2022-10-28,8233.559,5271.125
2022-10-29,7111.727,5404.02083333333
2022-10-30,7457.18,2973.3125
2022-10-31,5148.3467,6259.83333333333
2022-11-01,6937.4116,10800.8125
2022-11-02,9065.079,6474.83333333333
2022-11-03,7412.7783,9476.58333333333
2022-11-04,8920.163,6912.33333333333
2022-11-05,7935.371,3957.47916666667
2022-11-06,6047.0254,8567.97916666667
2022-11-07,9096.642,9984.75
2022-11-08,8953.093,11679.5208333333
2022-11-09,9979.148,6393.64583333333
2022-11-10,8491.782,3340.77083333333
2022-11-11,5676.143,3146.52083333333
2022-11-12,4812.222,3008.97916666667
2022-11-13,5142.543,2071.45833333333
2022-11-14,4425.4785,4180.125
2022-11-15,6098.262,8332.875
2022-11-16,8192.917,10037.3125
2022-11-17,8913.109,11801.7916666667
2022-11-18,9490.331,5456.27083333333
2022-11-19,6949.857,2725.10416666667
2022-11-20,5391.948,7028.72916666667
2022-11-21,7668.434,8767.22916666667
2022-11-22,9081.155,11244.4791666667
2022-11-23,8520.551,9845.29166666667
2022-11-24,8247.811,8655.04166666667
2022-11-25,8769.334,4220.27083333333
2022-11-26,7122.2964,3873.72916666667
2022-11-27,6357.2573,6514.58333333333
2022-11-28,7606.0425,3676.625
2022-11-29,6058.0728,1809.41666666667
2022-11-30,4006.9768,2106.45833333333
2022-12-01,4740.9287,3517.1875
2022-12-02,4679.9453,3028.5625
2022-12-03,4438.041,5289.0625
2022-12-04,6956.4067,2422.375
2022-12-05,4381.5225,1281.0625
2022-12-06,3357.291,1915.47916666667
2022-12-07,3950.5813,2150.875
2022-12-08,4132.445,1913.75
2022-12-09,3400.9214,2377.83333333333
2022-12-10,4227.4883,1842.08333333333
2022-12-11,3510.942,2168.29166666667
2022-12-12,3557.304,3089.16666666667
2022-12-13,4160.3833,4510.72916666667
2022-12-14,5555.51,2261.89583333333
2022-12-15,3811.1526,5503.41666666667
2022-12-16,6564.6294,3909.0625
2022-12-17,5135.438,2824.66666666667
2022-12-18,4055.4016,7982.08333333333
2022-12-19,7426.1987,12747.2708333333
2022-12-20,9503.91,10140.2083333333
2022-12-21,8881.546,7898.5
2022-12-22,8603.979,12151.8541666667
2022-12-23,10488.264,11217.5416666667
2022-12-24,9795.263,5022.0
2022-12-25,8013.7417,6101.41666666667
2022-12-26,7733.6978,7111.72916666667
2022-12-27,7646.875,5178.58333333333
2022-12-28,7566.811,12711.7291666667
2022-12-29,9097.588,10588.625
2022-12-30,8229.898,12580.4583333333
2022-12-31,9367.834,14845.5
2023-01-01,9490.587,10304.4375
2023-01-02,8671.78,6145.14583333333
2023-01-03,7421.223,6694.1875
2023-01-04,7243.933,12983.4166666667
2023-01-05,8924.746,6307.45833333333
2023-01-06,7453.5366,6483.35416666667
2023-01-07,7515.485,11311.3333333333
2023-01-08,9331.211,10460.0625
2023-01-09,9528.232,12579.25
2023-01-10,9481.052,10228.5
2023-01-11,9295.986,11360.2083333333
2023-01-12,10145.58,13985.625
2023-01-13,10332.375,11365.5833333333
2023-01-14,10098.843,12068.3125
2023-01-15,10108.354,12205.875
2023-01-16,9239.949,11411.1041666667
2023-01-17,9513.113,3428.77083333333
2023-01-18,6066.5566,3809.60416666667
2023-01-19,6300.2876,2372.97916666667
2023-01-20,5199.7295,3311.875
2023-01-21,5835.221,6851.02083333333
2023-01-22,7918.0503,4546.52083333333
2023-01-23,6705.0977,5575.33333333333
2023-01-24,6856.1016,4865.33333333333
2023-01-25,6488.899,1824.0625
2023-01-26,4568.2065,4229.70833333333
2023-01-27,6089.1704,7173.79166666667
2023-01-28,7477.0454,4511.0625
2023-01-29,6520.4795,2165.72916666667
2023-01-30,4791.799,5159.0625
2023-01-31,6342.448,4355.64583333333
2023-02-01,5956.9775,7230.16666666667
2023-02-02,7055.2466,5975.0
2023-02-03,7369.1577,5565.5
2023-02-04,6666.791,2704.14583333333
2023-02-05,4955.8887,6750.83333333333
2023-02-06,7361.848,5736.47916666667
2023-02-07,6653.345,5921.04166666667
2023-02-08,7794.0903,2729.0625
2023-02-09,5054.308,1158.58333333333
2023-02-10,3583.3442,1412.89583333333
2023-02-11,3575.0276,1976.83333333333
2023-02-12,4355.9043,2772.54166666667
2023-02-13,4357.417,2543.77083333333
2023-02-14,4022.333,2623.5
2023-02-15,4165.647,3124.72916666667
2023-02-16,4117.683,4785.8125
2023-02-17,5674.489,6517.35416666667
2023-02-18,7119.545,6236.9375
2023-02-19,7183.4404,3764.875
2023-02-20,4922.0366,2352.45833333333
2023-02-21,4327.39,1561.66666666667
2023-02-22,3510.9917,2420.41666666667
2023-02-23,4840.7935,2740.8125
2023-02-24,5053.2627,3728.72916666667
2023-02-25,4654.1655,4670.41666666667
2023-02-26,6168.3677,11475.0416666667
2023-02-27,9461.779,10738.3958333333
2023-02-28,9473.545,6457.85416666667
2023-03-01,8492.092,6080.02083333333
2023-03-02,7697.434,3352.10416666667
2023-03-03,6128.3374,3718.39583333333
2023-03-04,5590.632,3273.0
2023-03-05,5836.7397,1496.85416666667
2023-03-06,4543.6943,2396.6875
2023-03-07,4707.6973,5808.08333333333
2023-03-08,6548.187,10096.3541666667
2023-03-09,9715.13,12237.75
2023-03-10,10365.813,12604.2291666667
2023-03-11,10810.573,3737.5625
2023-03-12,7027.9595,7832.9375
2023-03-13,8389.623,13497.9791666667
2023-03-14,10795.723,12183.2083333333
2023-03-15,10697.611,2674.45833333333
2023-03-16,6024.7803,6258.45833333333
2023-03-17,7118.79,6418.35416666667
2023-03-18,7613.5684,5218.3125
2023-03-19,7484.1484,2876.47916666667
2023-03-20,5073.5146,2082.10416666667
2023-03-21,4332.4526,4154.08333333333
2023-03-22,5553.3296,9251.8125
2023-03-23,8723.8,10451.625
2023-03-24,9026.827,11812.5833333333
2023-03-25,9542.045,10602.0833333333
2023-03-26,8954.666,9139.4375
2023-03-27,8314.7705,3579.04166666667
2023-03-28,6031.2925,4327.41666666667
2023-03-29,7452.483,5515.25
2023-03-30,7027.3936,9776.79166666667
2023-03-31,8045.636,14420.0208333333
