Id,Load_forecast
1,44750.76572958274
2,40586.84287440678
3,37368.21910901445
4,43188.8522705683
5,46725.90707856282
6,45310.39222414179
7,44764.7123684461
8,43231.21576606312
9,39369.82735854063
10,37298.94536812252
11,43056.427653460785
12,45512.29617081193
13,45383.64559686245
14,44594.863631140775
15,44035.48575764196
16,39505.01851157373
17,37135.22127876334
18,42988.97592986364
19,45065.62537602698
20,44549.58528383587
21,44361.10174612977
22,44298.78088188314
23,40532.124144848654
24,38269.81544495893
25,43613.76747419324
26,45886.07404479001
27,45276.89593273715
28,46127.97175982105
29,45401.78645673992
30,41746.044363750756
31,39580.73224820074
32,44228.72271987946
33,46203.35749700558
34,45731.47600957262
35,44706.72835298779
36,44674.55611996197
37,40496.820234233164
38,38259.728758939666
39,44582.17972648771
40,45449.38196342594
41,45073.47389936002
42,45941.2424217265
43,45665.453081809814
44,40733.00363272848
45,38056.356908668575
46,43845.974692307034
47,44619.37044321627
48,44224.361999744404
49,43798.08254363903
50,43579.554234734765
51,38828.90248851946
52,37381.51162210204
53,41714.609939785645
54,44098.70823101163
55,44006.077421345144
56,43643.39458909212
57,42949.42587093065
58,38282.540225842415
59,36141.48661196591
60,42342.0092922837
61,40666.73513762672
62,38148.27847286924
63,45231.438504521546
64,46065.244635921765
65,43304.286464772595
66,42565.87710609959
67,48322.19928672222
68,47794.98616884554
69,50298.53467036166
70,48822.13247177507
71,49477.87991328034
72,39891.998723795805
73,42793.88019210487
74,48091.65663740852
75,50412.14864509611
76,51848.70730976788
77,51353.28363771301
78,49213.66391704052
79,48667.1624658987
80,47439.24875175287
81,53484.91434895976
82,56460.65748826213
83,57692.267380925645
84,56571.22789974903
85,54281.1039573008
86,51604.202449781595
87,50492.883224354766
88,56313.247699327745
89,56146.574731430825
90,59564.96640291846
91,59981.95273695039
92,60082.0770265299
93,59500.31835388527
94,56615.08748907139
95,63233.41791404675
96,65984.95021705399
97,66128.45626079333
98,65815.47288509914
99,66824.90674653614
100,63179.12935765503
101,62218.63431830832
102,71582.5055556126
103,74648.66593993884
104,73042.82194726838
105,69116.99441607899
106,68531.05794673042
107,66173.85812935505
108,68556.13521026644
109,72439.46727404681
110,61492.98875733672
111,57001.61080706708
112,56577.522314997776
113,54432.812944939054
114,48031.80692285615
115,45291.57999193387
116,47335.10481483926
117,48081.442757982884
118,52434.99360448573
119,52667.53130290546
120,49827.979738152775
121,48930.71302369416
122,43258.57442243477
123,47350.42253422765
124,51048.81310509614
125,55497.57181777938
126,55648.30130904777
127,53409.67291439753
128,50963.18284834467
129,48819.72292073527
