Id,Net_demand
1,40958.10221410653
2,38971.77334417819
3,33673.73518579259
4,32889.18825482299
5,39295.32918828909
6,40299.50282638672
7,38328.118996883946
8,36273.668021489226
9,37134.92381620687
10,34150.34196673564
11,32569.036699483677
12,38193.47928031024
13,40060.739507394195
14,39736.07061570536
15,38264.34252638788
16,36494.90204048934
17,32630.44919518069
18,31573.29628276839
19,38247.24721402016
20,39194.18269361664
21,40645.096954669396
22,40966.26745042643
23,39810.489523465934
24,34774.584603750016
25,31104.71155071059
26,36025.805623230815
27,38433.690457511795
28,41725.64144395397
29,39832.68327366894
30,36620.12132837716
31,34993.10105620409
32,35053.486063631535
33,40711.471060435935
34,38722.01251768567
35,40949.09707609851
36,40744.413176092734
37,40152.43104526605
38,35370.50800047036
39,34116.199529403886
40,40250.19781134818
41,41482.23283758941
42,40986.11654600435
43,39774.84202540771
44,38449.439875112555
45,33623.67250786579
46,33287.09544633492
47,38663.24276867022
48,38181.71537465067
49,37576.49027461474
50,37455.9783621784
51,37145.110992063725
52,29850.57733499205
53,28921.793615139566
54,36842.64874763219
55,37514.52799990511
56,36938.4394436371
57,37385.3873098156
58,36392.83794208718
59,33324.860827841985
60,29303.76905657835
61,32127.721400358292
62,32213.86976860155
63,36187.79920317637
64,38015.5780925868
65,40631.05440482044
66,36645.01882858077
67,35806.99290157156
68,39013.235174119225
69,43017.6652794571
70,43922.81269409059
71,44619.324274336126
72,40477.62788178903
73,39785.37761466807
74,37595.465496642886
75,42996.190445408916
76,43018.82012313309
77,42432.05829513768
78,44824.74842819076
79,46071.163489525155
80,42132.45670519624
81,41155.719733353384
82,47123.839738202005
83,49217.21301145182
84,49525.81853742172
85,50859.95209998838
86,49446.99840301431
87,46184.55828435282
88,45910.78995686464
89,52488.990517309
90,54254.500051061215
91,54600.26798639958
92,56115.57055768356
93,55119.49688924598
94,53505.69440615492
95,54312.40214830747
96,60470.29619714912
97,61431.52355522166
98,62098.896295975625
99,62947.80286385776
100,61635.52570971492
101,59422.226193674214
102,60959.02087461709
103,68143.09018441808
104,68133.43149988231
105,63857.03349925228
106,64478.75777887318
107,64638.72406596554
108,61087.89616612937
109,57270.04507505567
110,55213.9315324619
111,51802.23946331196
112,47783.948798841855
113,46764.72085124964
114,45887.37280097164
115,40665.278018216224
116,38136.104754745174
117,42666.89210408267
118,42603.43269753935
119,43981.20560908962
120,41046.72698264569
121,39759.882462096604
122,35534.84141408111
123,36308.43605089752
124,43569.86746872597
125,46017.84417954519
126,48895.25751691415
127,48232.41402612861
128,45427.79000730541
129,41464.84315145185
130,39539.92190287994
131,49180.79151174281
132,50925.08746805992
133,47496.60782925034
134,48805.585799976354
135,46898.4083648049
136,43233.24535907538
137,42147.58062059396
138,56358.88585888253
139,59664.85787161495
140,62596.412723526955
141,62643.88900763672
142,61685.76976994491
143,58397.56441974192
144,59836.60067111583
145,66187.30854847128
146,67757.27045763076
147,66957.34940932693
148,65248.281828075786
149,64110.98597951926
150,61780.349554182474
151,58527.5551952618
152,63516.11099575342
153,60118.19358661237
154,58312.558828013345
155,58312.85449788694
156,56185.09629281904
157,49526.958473321225
158,47619.13705695835
159,55393.54202105772
160,59855.991650851276
161,63361.66172649244
162,64669.73873066713
163,61408.202715887855
164,55176.532114950285
165,52882.791990320526
166,58200.3176192469
167,57725.69952044447
168,55397.99259988857
169,52141.36207635144
170,48661.115746777
171,44385.0270320673
172,43911.72889800038
173,51723.893902947864
174,52400.83985238537
175,51169.81063469907
176,51354.07460145137
177,48777.06671603155
178,41920.85522352809
179,44940.719264488565
180,56953.2512005169
181,59524.3413943567
182,59877.3252333114
183,59073.737263688716
184,56614.970947433154
185,53753.39095917753
186,52050.124444960835
187,56501.413473269844
188,51276.24714570475
189,48638.544870793354
190,43581.173862931515
191,49114.857363028495
192,44020.48575177949
193,36409.20170941275
194,40124.25279050738
195,47299.52261412759
196,46762.9473307897
197,44797.740837486475
198,43321.532069393834
199,39445.435740773944
200,39614.578608001175
201,45194.3282783489
202,42502.15650000326
203,40580.62436573518
204,38038.66138023422
205,38011.00412974662
206,35332.92038572709
207,37423.021260285124
208,45367.828460683195
209,45787.144922628686
210,40793.951611573124
211,33799.22358467722
212,37245.75612393334
213,36378.716694754316
214,38052.55674164772
215,45246.590971604215
216,48473.04221179685
217,47930.572184876386
218,45848.39644272424
219,43156.649815161116
220,39879.08527569526
221,35162.96329480917
222,34768.07447223354
223,38040.70819620804
224,40212.16190547143
225,42009.102079146534
226,41271.091995052564
227,38919.14105650336
228,36580.28437929336
229,40824.52789240641
230,40320.503152552796
231,39888.83563479453
232,40929.81658314082
233,40524.98026447174
234,34441.01582293986
235,33727.35156093277
236,40693.24531133338
237,42616.03411716263
238,42251.05909841414
239,39259.74943782698
240,38170.88192240592
241,34408.413712075606
242,31797.679563770445
243,30992.887264625653
244,35686.6119407434
245,36432.66669455789
246,37317.55216664644
247,36832.97268399218
248,33038.75969571505
249,30465.301775309916
250,31976.92383314103
251,34750.90063403563
252,37700.43730998277
253,37956.78573569246
254,37385.397492716445
255,33132.654112697695
256,30940.779548733204
257,34679.93946108785
258,36147.625944172425
